***********数字：***********
贤妻良母, 贤母良妻
爷羹娘饭, 爷饭娘羹
寡见少闻, 寡闻少见
尔虞我诈, 尔诈我虞
尘羹涂饭, 尘饭涂羹
竭忠尽智, 竭智尽忠
阴差阳错, 阴错阳差
连恨带气, 连气带恨
得心应手, 得手应心
揆情度理, 揆理度情
弃明投暗, 弃暗投明
瑟弄琴调, 瑟调琴弄
引狼拒虎, 引虎拒狼
强本弱枝, 强枝弱本
移形换步, 移步换形
心往神驰, 心驰神往
日往月来, 日来月往
日征月迈, 日迈月征
睹微知著, 睹著知微
身微言轻, 身轻言微
语重心长, 语长心重
镌心铭骨, 镌骨铭心
玩日愒时, 玩时愒日
点金成铁, 点铁成金
零打碎敲, 零敲碎打
拒狼进虎, 拒虎进狼
斩木揭竿, 斩竿揭木
改操易节, 改节易操
花攒锦簇, 花簇锦攒
改辙易途, 改途易辙
魄散魂消, 魄消魂散
步斗踏罡, 步罡踏斗
日滋月益, 日益月滋
春蚓秋蛇, 春蛇秋蚓
杏脸桃腮, 杏腮桃脸
醉死梦生, 醉生梦死
高步阔视, 高视阔步
铜浇铁铸, 铜铸铁浇
涤瑕荡秽, 涤秽荡瑕
软玉温香, 软香温玉
说白道黑, 说黑道白
鼻肿眼青, 鼻青眼肿
较短絜长, 较长絜短
说短道长, 说长道短
神输鬼运, 神运鬼输
露纂雪钞, 露钞雪纂
锦营花阵, 锦阵花营
酒虎诗龙, 酒龙诗虎
高见远识, 高识远见
***********一三交换：***********
抽丁拔楔, 拔丁抽楔
三头两绪, 两头三绪
三头两面, 两头三面
三般两样, 两般三样
三心二意, 二心三意
倒三颠四, 颠三倒四
三街六市, 六街三市
接三连四, 连三接四
上情下达, 下情上达
欺上瞒下, 瞒上欺下
绝世超伦, 超世绝伦
傲世轻物, 轻世傲物
丧魂失魄, 失魂丧魄
乱作胡为, 胡作乱为
祸为福先, 福为祸先
子为父隐, 父为子隐
履仁蹈义, 蹈仁履义
义浆仁粟, 仁浆义粟
义断恩绝, 恩断义绝
乐善好施, 好善乐施
入乡随俗, 随乡入俗
手忙脚乱, 脚忙手乱
乱琼碎玉, 碎琼乱玉
千了百当, 百了千当
惹事招非, 招事惹非
拿云握雾, 握云拿雾
云消雨散, 雨消云散
裁月镂云, 镂月裁云
云谲波诡, 波谲云诡
五光十色, 十光五色
近交远攻, 远交近攻
心明眼亮, 眼明心亮
说古谈今, 谈古说今
发号施令, 施号发令
任贤使能, 使贤任能
伐功矜能, 矜功伐能
大庭广众, 广庭大众
火尽薪传, 薪尽火传
手高眼低, 眼高手低
大题小作, 小题大作
救偏补弊, 补偏救弊
大题小做, 小题大做
傲霜斗雪, 斗霜傲雪
卖儿鬻女, 鬻儿卖女
片光零羽, 零光片羽
入文出武, 出文入武
羊入虎群, 虎入羊群
寸兵尺铁, 尺兵寸铁
养精蓄锐, 蓄精养锐
冥思苦想, 苦思冥想
冰解冻释, 冻解冰释
凤楼龙阙, 龙楼凤阙
刿心鉥肾, 鉥心刿肾
剖毫析芒, 析毫剖芒
剥肤椎髓, 椎肤剥髓
力钧势敌, 势钧力敌
加枝添叶, 添枝加叶
动心骇目, 骇心动目
劳心焦思, 焦心劳思
走南闯北, 闯南走北
发聋振聩, 振聋发聩
拙口钝腮, 钝口拙腮
句斟字酌, 字斟句酌
只身孤影, 孤身只影
只言片语, 片言只语
吁天呼地, 呼天吁地
名至实归, 实至名归
吮痈舐痔, 舐痈吮痔
吹垢索瘢, 索垢吹瘢
彼唱此和, 此唱彼和
咒天骂地, 骂天咒地
品头评足, 评头品足
嘴直心快, 心直嘴快
拙嘴笨舌, 笨嘴拙舌
腾声飞实, 飞声腾实
屏声敛息, 敛声屏息
违天逆理, 逆天违理
妒贤嫉能, 嫉贤妒能
妙言要道, 要言妙道
密锣紧鼓, 紧锣密鼓
废寝忘食, 忘寝废食
寡廉鲜耻, 鲜廉寡耻
寻根追底, 追根寻底
慎小谨微, 谨小慎微
尽诚竭节, 竭诚尽节
弄眉挤眼, 挤眉弄眼
弱本强末, 强本弱末
径情直行, 直情径行
快心遂意, 遂心快意
正心诚意, 诚心正意
忧深思远, 思深忧远
手急眼快, 眼急手快
手疾眼快, 眼疾手快
急风骤雨, 骤风急雨
矫情饰行, 饰情矫行
鱼惊鸟散, 鸟惊鱼散
惹是招非, 招是惹非
铁打铜铸, 铜打铁铸
披荆斩棘, 斩荆披棘
拖青纡紫, 纡青拖紫
知易行难, 行易知难
理正词直, 词正理直
正言直谏, 直言正谏
肘行膝步, 膝行肘步
歪门邪道, 邪门歪道
灰身粉骨, 粉身灰骨
趋炎附热, 附炎趋热
等量齐观, 齐量等观
耳红面赤, 面红耳赤
缩衣节食, 节衣缩食
脸青鼻肿, 鼻青脸肿
***********一二不变，三四交换：***********
一帆顺风, 一帆风顺
不可捉摸, 不可摸捉
死不悔改, 死不改悔
不相问闻, 不相闻问
与世沉浮, 与世浮沉
无与伦比, 无与比伦
胸中块垒, 胸中垒块
乐极悲生, 乐极生悲
见事生风, 见事风生
百二山河, 百二河山
存亡绝续, 存亡续绝
骇人听闻, 骇人闻听
拾人唾涕, 拾人涕唾
黯然伤神, 黯然神伤
随俗沉浮, 随俗浮沉
阴凝冰坚, 阴凝坚冰
气冲斗牛, 气冲牛斗
纳履决踵, 纳履踵决
马到功成, 马到成功
雕虫刻篆, 雕虫篆刻
半壁山河, 半壁河山
锦瑟华年, 锦瑟年华
长虑后顾, 长虑顾后
谈吐生风, 谈吐风生
梨园子弟, 梨园弟子
气壮山河, 气壮河山
心头撞鹿, 心头鹿撞
盖棺定论, 盖棺论定
海屋添筹, 海屋筹添
锦绣山河, 锦绣河山
邈若山河, 邈若河山
良工心苦, 良工苦心
素昧平生, 素昧生平
铁树开花, 铁树花开
故弄玄虚, 故弄虚玄
张王李赵, 张王赵李
归正邱首, 归正首邱
渺无影踪, 渺无踪影
打草惊蛇, 打草蛇惊
明珠投暗, 明珠暗投
捉衿肘见, 捉衿见肘
捉襟肘见, 捉襟见肘
花样新翻, 花样翻新
无足轻重, 无足重轻
白日绣衣, 白日衣绣
***********一二交换：***********
一以当十, 以一当十
一决胜负, 决一胜负
一决雌雄, 决一雌雄
始终如一, 终始如一
始终若一, 终始若一
七零八碎, 零七八碎
日食万钱, 食日万钱
下比有余, 比下有余
不自量力, 自不量力
梗顽不化, 顽梗不化
图谋不轨, 谋图不轨
始终不渝, 终始不渝
岁比不登, 比岁不登
打抱不平, 抱打不平
形影不离, 影形不离
神鬼不测, 鬼神不测
毛羽未丰, 羽毛未丰
义气相投, 气义相投
乔松之寿, 松乔之寿
杵臼之交, 臼杵之交
心腹之患, 腹心之患
心腹之疾, 腹心之疾
疥癣之疾, 癣疥之疾
云开见天, 开云见天
云开见日, 开云见日
纸落云烟, 落纸云烟
死生存亡, 生死存亡
以逸待劳, 逸以待劳
以夜继昼, 夜以继昼
价等连城, 等价连城
屈蠖求伸, 蠖屈求伸
转辗反侧, 辗转反侧
货贿公行, 贿货公行
大张其词, 张大其词
德才兼备, 才德兼备
发植穿冠, 植发穿冠
决断如流, 断决如流
出师无名, 师出无名
出师有名, 师出有名
脱颖而出, 颖脱而出
憎爱分明, 爱憎分明
